iter	Passed	Remaining
478	639	696
479	640	694
480	641	692
481	642	690
482	643	688
483	644	686
484	645	684
485	645	683
486	646	681
487	647	679
488	648	677
489	649	675
490	650	673
491	651	672
492	651	670
493	652	668
494	653	666
495	654	665
496	655	663
497	656	661
498	657	659
499	658	658
500	658	656
501	659	654
502	660	652
503	661	650
504	662	649
505	663	647
506	664	645
507	664	644
508	665	642
509	666	640
510	667	638
511	668	637
512	669	635
513	670	633
514	670	631
515	671	630
516	672	628
517	673	626
518	674	624
519	675	623
520	675	621
521	676	619
522	677	618
523	678	616
524	679	615
525	680	613
526	681	611
527	682	610
528	683	608
529	684	606
530	685	605
531	686	603
532	686	601
533	687	600
534	688	598
535	689	596
536	690	595
537	691	593
538	691	591
539	692	590
540	693	588
541	694	586
542	695	585
543	696	583
544	697	582
545	698	580
546	698	578
547	699	577
548	700	575
549	701	573
550	702	572
551	703	570
552	703	569
553	704	567
554	705	565
555	706	564
556	707	562
557	708	561
558	709	559
559	710	558
560	711	556
561	711	554
562	712	553
563	713	551
564	714	550
565	715	548
566	716	546
567	717	545
568	717	543
569	718	542
570	719	540
571	720	539
572	721	537
573	722	536
574	723	534
575	724	533
576	724	531
577	725	529
578	726	528
579	727	526
580	728	525
581	729	523
582	730	522
583	730	520
584	731	519
585	732	517
586	733	515
587	734	514
588	735	513
589	736	512
590	737	510
591	739	509
592	739	507
593	740	506
594	741	504
595	742	503
596	743	501
597	744	500
598	744	498
599	745	497
600	746	495
601	747	494
602	748	492
603	749	491
604	750	489
605	751	488
606	751	486
607	752	485
608	753	483
609	754	482
610	755	480
611	756	479
612	757	477
613	757	476
614	758	474
615	759	473
616	760	472
617	761	470
618	762	469
619	763	467
620	764	466
621	764	464
622	765	463
623	766	461
624	767	460
625	768	459
626	768	457
627	769	456
628	770	454
629	771	453
630	772	451
631	773	450
632	774	448
633	774	447
634	775	445
635	776	444
636	777	443
637	778	441
638	779	440
639	779	438
640	780	437
641	781	435
642	782	434
643	783	432
644	784	431
645	784	430
646	785	428
647	786	427
648	787	425
649	788	424
650	789	423
651	790	421
652	790	420
653	791	418
654	792	417
655	793	416
656	794	414
657	795	413
658	796	411
659	796	410
660	797	409
661	798	407
662	799	406
663	800	404
664	801	403
665	801	402
666	802	400
667	803	399
668	804	397
669	805	396
670	806	395
671	807	393
672	807	392
673	808	391
674	809	389
675	810	388
676	811	387
677	812	385
678	813	384
679	813	383
680	814	381
681	815	380
682	816	378
683	817	377
684	818	376
685	819	374
686	819	373
687	820	372
688	821	370
689	822	369
690	823	368
691	824	366
692	825	365
693	826	364
694	826	362
695	827	361
696	828	360
697	829	358
698	830	357
699	831	356
700	832	354
701	832	353
702	833	352
703	834	350
704	835	349
705	836	348
706	836	346
707	837	345
708	838	344
709	839	342
710	840	341
711	841	340
712	842	338
713	842	337
714	843	336
715	844	334
716	845	333
717	846	332
718	847	331
719	847	329
720	848	328
721	849	327
722	850	325
723	851	324
724	852	323
725	853	321
726	854	320
727	854	319
728	855	318
729	856	316
730	857	315
731	858	314
732	859	312
733	860	311
734	860	310
735	862	309
736	864	308
737	865	307
738	866	306
739	867	304
740	868	303
741	869	302
742	870	301
743	871	299
744	872	298
745	873	297
746	874	296
747	875	294
748	876	293
749	877	292
750	878	291
751	879	289
752	880	288
753	881	287
754	882	286
755	883	285
756	884	283
757	885	282
758	886	281
759	887	280
760	888	279
761	889	277
762	890	276
763	891	275
764	892	274
765	893	272
766	894	271
767	895	270
768	896	269
769	897	268
770	898	266
771	899	265
772	900	264
773	901	263
774	902	261
775	903	260
776	904	259
777	905	258
778	906	257
779	907	255
780	908	254
781	908	253
782	909	252
783	910	250
784	911	249
785	912	248
786	913	247
787	914	246
788	915	244
789	916	243
790	917	242
791	918	241
792	919	240
793	920	238
794	921	237
795	922	236
796	923	235
797	924	234
798	925	232
799	926	231
800	927	230
801	928	229
802	929	228
803	930	226
804	931	225
805	932	224
806	933	223
807	934	222
808	935	220
809	936	219
810	937	218
811	938	217
812	939	216
813	940	214
814	941	213
815	941	212
816	942	211
817	943	209
818	944	208
819	945	207
820	946	206
821	947	205
822	948	204
823	949	202
824	950	201
825	951	200
826	952	199
827	953	198
828	954	196
829	955	195
830	956	194
831	957	193
832	958	192
833	959	190
834	960	189
835	961	188
836	962	187
837	963	186
838	964	185
839	965	183
840	966	182
841	967	181
842	968	180
843	969	179
844	970	177
845	971	176
846	972	175
847	972	174
848	974	173
849	976	172
850	977	171
851	978	170
852	980	168
853	981	167
854	982	166
855	984	165
856	985	164
857	986	163
858	988	162
859	989	161
860	990	159
861	992	158
862	993	157
863	994	156
864	997	155
865	999	154
866	1001	153
867	1002	152
868	1004	151
869	1005	150
870	1006	149
871	1008	148
872	1009	146
873	1011	145
874	1012	144
875	1014	143
876	1015	142
877	1016	141
878	1018	140
879	1019	139
880	1020	137
881	1022	136
882	1023	135
883	1025	134
884	1026	133
885	1027	132
886	1028	131
887	1030	129
888	1031	128
889	1032	127
890	1033	126
891	1034	125
892	1035	124
893	1036	122
894	1037	121
895	1038	120
896	1040	119
897	1041	118
898	1042	117
899	1043	115
900	1045	114
901	1046	113
902	1049	112
903	1052	111
904	1055	110
905	1057	109
906	1059	108
907	1060	107
908	1061	106
909	1062	105
910	1064	103
911	1065	102
912	1066	101
913	1067	100
914	1068	99
915	1069	98
916	1070	96
917	1071	95
918	1072	94
919	1073	93
920	1074	92
921	1075	90
922	1076	89
923	1077	88
924	1078	87
925	1079	86
926	1080	85
927	1080	83
928	1081	82
929	1082	81
930	1083	80
931	1084	79
932	1086	77
933	1087	76
934	1088	75
935	1089	74
936	1091	73
937	1093	72
938	1094	71
939	1095	69
940	1096	68
941	1097	67
942	1099	66
943	1100	65
944	1101	64
945	1102	62
946	1103	61
947	1104	60
948	1105	59
949	1106	58
950	1107	57
951	1108	55
952	1109	54
953	1110	53
954	1111	52
955	1112	51
956	1113	50
957	1114	48
958	1115	47
959	1117	46
960	1118	45
961	1119	44
962	1120	43
963	1121	41
964	1122	40
965	1123	39
966	1124	38
967	1125	37
968	1126	36
969	1127	34
970	1128	33
971	1129	32
972	1130	31
973	1131	30
974	1132	29
975	1133	27
976	1134	26
977	1135	25
978	1136	24
979	1137	23
980	1138	22
981	1139	20
982	1140	19
983	1141	18
984	1143	17
985	1144	16
986	1145	15
987	1146	13
988	1147	12
989	1148	11
990	1149	10
991	1150	9
992	1151	8
993	1152	6
994	1153	5
995	1154	4
996	1155	3
997	1156	2
998	1157	1
999	1158	0
